ts_unix,t_ns,seq,version,slave,torque_mNm_raw,torque_Nm_raw,torque_Nm_smooth,ratio_pct
1768033627.2620127,7968309657933,67530,1,1,13499,13.499,13.599236756645217,15.5
1768033627.2720003,7968319657743,67531,1,1,13499,13.499,13.594348242918235,15.5
1768033627.2823129,7968329658349,67532,1,1,13499,13.499,13.58969777942358,15.5
1768033627.2920282,7968339657936,67533,1,1,13499,13.499,13.585274574681396,15.5
1768033627.3020046,7968349658079,67534,1,1,13499,13.499,13.581066855345405,15.5
1768033627.3120394,7968359660055,67535,1,1,13499,13.499,13.577063636308257,15.5
1768033627.3220265,7968369658402,67536,1,1,12874,12.874,13.573257041571848,14.7
1768033627.3320537,7968379658360,67537,1,1,12874,12.874,13.569635497752968,14.7
1768033627.3420084,7968389658243,67538,1,1,13499,13.499,13.566190603183369,15.5
1768033627.351999,7968399658498,67539,1,1,12874,12.874,13.532431229610566,14.7
1768033627.362,7968409658585,67540,1,1,13499,13.499,13.500318887166982,15.5
1768033627.3720033,7968419658876,67541,1,1,13499,13.499,13.50025456245544,15.5
1768033627.3820164,7968429658889,67542,1,1,13499,13.499,13.50019337664492,15.5
1768033627.392067,7968439659292,67543,1,1,12874,12.874,13.500135172691785,14.7
1768033627.4021156,7968449659268,67544,1,1,13499,13.499,13.500079809795892,15.5
1768033627.4121232,7968459657855,67545,1,1,13499,13.499,13.500027154107535,15.5
1768033627.4220252,7968469657572,67546,1,1,13499,13.499,13.499977060593125,15.5
1768033627.4320521,7968479657715,67547,1,1,14124,14.124,13.499929408121174,16.2
1768033627.4420054,7968489657877,67548,1,1,12874,12.874,13.499884079636125,14.7
1768033627.451999,7968499658186,67549,1,1,13499,13.499,13.499840961264198,15.5
1768033627.4620128,7968509659552,67550,1,1,13499,13.499,13.49979994163575,15.5
1768033627.4720085,7968519659046,67551,1,1,12874,12.874,13.499760929946959,14.7
1768033627.4820163,7968529659819,67552,1,1,12874,12.874,13.469239908661784,14.7
1768033627.4920385,7968539659240,67553,1,1,13499,13.499,13.47069124348953,15.5
1768033627.5020478,7968549659197,67554,1,1,13499,13.499,13.472071872046667,15.5
1768033627.5120041,7968559659359,67555,1,1,13499,13.499,13.473385193092072,15.5
1768033627.5220075,7968569659391,67556,1,1,12874,12.874,13.474634445864764,14.7
1768033627.5320086,7968579659571,67557,1,1,13499,13.499,13.475822788821798,15.5
1768033627.5420022,7968589659732,67558,1,1,13499,13.499,13.476953172497131,15.5
1768033627.5519993,7968599660005,67559,1,1,13499,13.499,13.478028437588582,15.5
1768033627.5619996,7968609660277,67560,1,1,13499,13.499,13.47905125988681,15.5
1768033627.5719998,7968619660550,67561,1,1,13499,13.499,13.480024197324605,15.5
1768033627.5820203,7968629660675,67562,1,1,13499,13.499,13.480949669423104,15.5
1768033627.5920045,7968639660836,67563,1,1,14124,14.124,13.481830008255141,16.2
1768033627.602039,7968649660960,67564,1,1,12874,12.874,13.482667408760065,14.7
1768033627.6120503,7968659660826,67565,1,1,13499,13.499,13.48346394822508,15.5
1768033627.6220076,7968669661024,67566,1,1,14124,14.124,13.484221665041687,16.2
1768033627.632008,7968679661056,67567,1,1,13499,13.499,13.484942415191739,15.5
1768033627.6420102,7968689660773,67568,1,1,13499,13.499,13.48562799277159,15.5
1768033627.6520066,7968699661342,67569,1,1,13499,13.499,13.486280189447614,15.5
1768033627.6620016,7968709661003,67570,1,1,13499,13.499,13.486900521419896,15.5
1768033627.6720011,7968719661332,67571,1,1,13499,13.499,13.487490638886404,15.5
1768033627.6820123,7968729661604,67572,1,1,13499,13.499,13.488051971940871,15.5
1768033627.6920028,7968739661673,67573,1,1,12874,12.874,13.488585917162757,14.7
1768033627.7020345,7968749662390,67574,1,1,13499,13.499,13.489093853489626,15.5
1768033627.7120578,7968759661552,67575,1,1,12874,12.874,13.48957694247339,14.7
1768033627.7220082,7968769661398,67576,1,1,14124,14.124,13.490036503510035,16.2
1768033627.7320254,7968779668226,67577,1,1,13499,13.499,13.490473949476671,15.5
1768033627.742032,7968789661573,67578,1,1,12874,12.874,13.490889500076138,14.7
1768033627.7520103,7968799661234,67579,1,1,13499,13.499,13.491285040748167,15.5
1768033627.7620232,7968809661452,67580,1,1,13499,13.499,13.491661311750008,15.5
1768033627.7720053,7968819662206,67581,1,1,13499,13.499,13.492019250116847,15.5
1768033627.7820036,7968829661441,67582,1,1,14124,14.124,13.492359679906889,16.2
1768033627.7920103,7968839662158,67583,1,1,13499,13.499,13.492683554783826,15.5
1768033627.8020034,7968849661931,67584,1,1,13499,13.499,13.492991604632603,15.5
1768033627.8120854,7968859662185,67585,1,1,13499,13.499,13.493284644791004,15.5
1768033627.8220103,7968869662902,67586,1,1,13499,13.499,13.493563405443956,15.5
1768033627.8320594,7968879662508,67587,1,1,13499,13.499,13.493828541101447,15.5
1768033627.8420131,7968889661966,67588,1,1,12874,12.874,13.494080742796932,14.7
1768033627.8520064,7968899662423,67589,1,1,12874,12.874,13.494320668494039,14.7
1768033627.862003,7968909662400,67590,1,1,13499,13.499,13.494548881672658,15.5
1768033627.8720067,7968919661691,67591,1,1,13499,13.499,13.49476595026542,15.5
1768033627.8820121,7968929662686,67592,1,1,13499,13.499,13.494972467344692,15.5
1768033627.8920093,7968939662699,67593,1,1,14124,14.124,13.495168892679155,16.2
1768033627.902023,7968949662434,67594,1,1,13499,13.499,13.495355733159341,15.5
1768033627.912056,7968959663503,67595,1,1,13499,13.499,13.495533484679006,15.5
1768033627.922054,7968969662406,67596,1,1,13499,13.499,13.495702530539617,15.5
1768033627.932008,7968979662308,67597,1,1,12874,12.874,13.495863348485933,14.7
1768033627.9420114,7968989662636,67598,1,1,13499,13.499,13.496016329678639,15.5
1768033627.9520051,7968999662686,67599,1,1,13499,13.499,13.496161845706851,15.5
1768033627.9620502,7969009663663,67600,1,1,13499,13.499,13.496300277313262,15.5
1768033627.9720564,7969019662454,67601,1,1,13499,13.499,13.496431928818438,15.5
1768033627.9820232,7969029662097,67602,1,1,13499,13.499,13.49655717076744,15.5
1768033627.9920297,7969039663777,67603,1,1,13499,13.499,13.496676328473882,15.5
1768033628.002039,7969049662531,67604,1,1,13499,13.499,13.49678964150099,15.5
1768033628.01201,7969059662729,67605,1,1,14124,14.124,13.496897444038579,16.2
1768033628.0221217,7969069663243,67606,1,1,12874,12.874,13.496999992042864,14.7
1768033628.0320404,7969079662608,67607,1,1,13499,13.499,13.497097527541596,15.5
